date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200323,AR,174,906,None,13,None,None,None,None,None,None,0,None,1080,1080,1080,0,0,195,9,204
20200322,AR,165,711,119,13,None,None,None,None,None,None,0,None,995,876,876,0,0,144,47,191
20200321,AR,118,567,154,None,None,None,None,None,None,None,None,None,839,685,685,0,0,216,22,238
20200320,AR,96,351,203,None,None,None,None,None,None,None,None,None,650,447,447,0,0,41,50,91
20200319,AR,46,310,113,None,None,None,None,None,None,None,None,None,469,356,356,0,0,74,13,87
20200318,AR,33,236,50,None,None,None,None,None,None,None,None,None,319,269,269,0,0,39,11,50
20200317,AR,22,197,41,None,None,None,None,None,None,None,None,None,260,219,219,0,0,65,0,65
20200316,AR,22,132,14,None,None,None,None,None,None,None,None,None,168,154,154,0,0,29,6,35
20200315,AR,16,103,30,None,None,None,None,None,None,None,None,None,149,119,119,0,0,38,4,42
20200314,AR,12,65,26,None,None,None,None,None,None,None,None,None,103,77,77,0,0,35,3,38
20200313,AR,9,30,22,None,None,None,None,None,None,None,None,None,61,39,39,0,0,6,3,9
20200312,AR,6,24,20,None,None,None,None,None,None,None,None,None,50,30,30,0,0,12,6,18
20200311,AR,0,12,14,,,,,,,,,,26,12,12,0,0,0,0,0
20200310,AR,0,12,3,,,,,,,,,,15,12,12,0,0,0,0,0
20200309,AR,0,12,0,,,,,,,,,,12,12,12,0,0,6,0,6
20200308,AR,0,6,0,,,,,,,,,,6,6,6,0,0,0,0,0
20200307,AR,0,6,0,,,,,,,,,,6,6,6,0,0,0,0,0
20200306,AR,0,6,0,,,,,,,,,,6,6,6,None,None,None,None,None
